x,y,z,fx,fy,fz,p
-4.688613894031563589e-01,-2.500000000000000000e+00,7.047519117946885459e-01,-0.000000000000000000e+00,-7.756550924711937967e+00,0.000000000000000000e+00,2.585516974903978848e+02
-3.165339850202637528e+00,-1.170437205692873128e+00,-3.701940557301002244e-01,-4.774949057336205982e+01,0.000000000000000000e+00,-4.774949057336205271e+01,2.250932572175162022e+03
-1.452735340217972571e+00,2.500000000000000000e+00,-2.058571933637324491e+00,0.000000000000000000e+00,3.663514762467317443e+00,0.000000000000000000e+00,1.221171587489105548e+02
-3.393675367332996462e+00,-1.390073735493960738e+00,1.418585385997438997e-01,-3.867598095578356521e+01,0.000000000000000000e+00,3.867598095578356521e+01,1.823203226858421431e+03
-5.397940574277066972e-01,2.111274321277267774e-02,2.995739848505033720e+00,-6.678601060130870337e+01,0.000000000000000000e+00,6.678601060130870337e+01,3.148322732305467980e+03
-8.109028516322345226e-01,2.500000000000000000e+00,-2.399153658428704983e+00,0.000000000000000000e+00,3.622889110781037481e+00,0.000000000000000000e+00,1.207629703593678983e+02
1.867243227189367083e+00,-2.365518433562332490e+00,-1.668290678743368671e+00,8.482388201927527405e+00,0.000000000000000000e+00,-8.482388201927527405e+00,3.998636145493146614e+02
3.287313036407350175e+00,-2.500000000000000000e+00,1.560459988274294219e-01,0.000000000000000000e+00,-1.562022381906354784e+00,0.000000000000000000e+00,5.206741273021181371e+01
-2.652720949452064492e+00,5.286299029666947646e-01,8.828129564806759255e-01,-6.769240158512555183e+01,0.000000000000000000e+00,6.769240158512555183e+01,3.191050413043018125e+03
-3.215095727792071312e+00,-1.347673051633626606e+00,3.204381781406692165e-01,-4.217530186799834269e+01,0.000000000000000000e+00,4.217530186799834269e+01,1.988162796630085722e+03
-2.821635598524656618e+00,6.162592434625502325e-01,-7.138983074080811342e-01,-6.433856050245798031e+01,0.000000000000000000e+00,-6.433856050245798031e+01,3.032948828204599522e+03
1.976355599684972431e+00,1.559751715608940215e+00,-1.559178306247763324e+00,4.354080039976024352e+01,0.000000000000000000e+00,-4.354080039976024352e+01,2.052533014730693594e+03
2.301561601369861876e+00,6.489917003993461719e-01,1.233972304562876099e+00,6.886699085397729903e+01,0.000000000000000000e+00,6.886699085397731324e+01,3.246421082183952421e+03
-4.962227110069914460e-01,2.500000000000000000e+00,2.156239062217953251e+00,0.000000000000000000e+00,4.611876422926616925e+00,-0.000000000000000000e+00,1.537292140975538643e+02
-7.870746814724893792e-01,-1.258520182566114531e+00,-2.748459224460248596e+00,-4.995691201436982709e+01,-0.000000000000000000e+00,-4.995691201436981999e+01,2.354991416833373478e+03
-1.330159605198596662e+00,1.444591933354776536e+00,2.205374300734143755e+00,-4.724778842813640978e+01,0.000000000000000000e+00,4.724778842813640978e+01,2.227282106240169014e+03
8.677038974601201105e-01,2.500000000000000000e+00,2.396153960396838922e+00,0.000000000000000000e+00,3.572813620111239707e+00,-0.000000000000000000e+00,1.190937873370413058e+02
-2.080416790644921576e+00,9.153124786810011848e-01,1.455117115287818619e+00,-6.420697069248339517e+01,0.000000000000000000e+00,6.420697069248339517e+01,3.026745625073394422e+03
2.382863403674757574e+00,1.199998128944346210e+00,-1.152670502257977958e+00,5.462627705049081328e+01,0.000000000000000000e+00,-5.462627705049081328e+01,2.575107395558475218e+03
1.191539859236333321e+00,-6.372950452814554190e-01,-2.343994046696402656e+00,6.878218508394654407e+01,0.000000000000000000e+00,-6.878218508394654407e+01,3.242423299845786005e+03
-1.120542739600708604e+00,-2.046886885912149623e+00,-2.414991166332029149e+00,-2.214490019793665709e+01,-0.000000000000000000e+00,-2.214490019793665354e+01,1.043920606577355102e+03
6.840879456107764600e-01,-2.500000000000000000e+00,1.362461017064062752e-01,0.000000000000000000e+00,-7.946280317510505675e+00,0.000000000000000000e+00,2.648760105836834668e+02
-2.032784626950928875e+00,-1.716533902475054774e+00,-1.502749278981809322e+00,-3.716922672477732448e+01,-0.000000000000000000e+00,-3.716922672477731737e+01,1.752174151236685930e+03
3.405153203213263868e+00,1.202573495139359627e+00,1.303807027194741619e-01,4.354215008673177323e+01,0.000000000000000000e+00,4.354215008673178033e+01,2.052596639584696732e+03
1.950381792665788261e+00,1.938305717014444651e+00,1.585152113266949492e+00,2.784240418974935238e+01,0.000000000000000000e+00,2.784240418974935238e+01,1.312503520473900380e+03
-8.735514136227089388e-01,8.269750116791301231e-01,-2.661982492310028814e+00,-6.220351871280229972e+01,-0.000000000000000000e+00,-6.220351871280229972e+01,2.932301993032453538e+03
2.712953735422651835e+00,7.226664773309692258e-01,-8.225801705100836969e-01,6.377814755802037183e+01,0.000000000000000000e+00,-6.377814755802037183e+01,3.006530708652829617e+03
7.133263505549534145e-01,2.500000000000000000e+00,-6.205403668659932315e-01,0.000000000000000000e+00,7.611363299964100548e+00,0.000000000000000000e+00,2.537121099988032995e+02
-2.037590918366149750e-01,-2.500000000000000000e+00,-2.429860510348722080e+00,-0.000000000000000000e+00,-3.917765938931498937e+00,0.000000000000000000e+00,1.305921979643832742e+02
1.863658697720700363e+00,4.462309522861360733e-01,1.671875208212037611e+00,7.380470566447756653e+01,0.000000000000000000e+00,7.380470566447758074e+01,3.479187190588618250e+03
-1.243446191423400737e+00,1.586175662327131697e-01,-2.292087714509337015e+00,-7.454343572620020097e+01,-0.000000000000000000e+00,-7.454343572620018676e+01,3.514011259662646808e+03
-1.339751027126285382e-02,-2.500000000000000000e+00,1.114538486713912313e+00,-0.000000000000000000e+00,-7.329137017287232325e+00,0.000000000000000000e+00,2.443045672429076944e+02
5.557211166713407202e-01,1.573148295385736084e+00,2.979812789261397032e+00,3.751213895921728891e+01,0.000000000000000000e+00,3.751213895921729602e+01,1.768339188991641322e+03
2.973190407584516692e-01,-2.500000000000000000e+00,8.380511027249619715e-01,0.000000000000000000e+00,-7.695681578821170099e+00,0.000000000000000000e+00,2.565227192940389500e+02
1.085001324630813890e+00,7.288362933990943926e-01,2.450532581301923418e+00,6.622930246462802018e+01,0.000000000000000000e+00,6.622930246462802018e+01,3.122079259066225859e+03
1.687435674689924170e+00,-2.500000000000000000e+00,-8.376469116656326541e-01,0.000000000000000000e+00,-5.561014323575308893e+00,0.000000000000000000e+00,1.853671441191769418e+02
-1.273855733939275092e+00,4.847075997688579108e-01,-2.261678171993462882e+00,-7.175247005404527556e+01,-0.000000000000000000e+00,-7.175247005404526135e+01,3.382443876140005614e+03
-1.376743070737560082e+00,-1.653171165804440790e+00,-2.158790835195177671e+00,-3.943807887462576645e+01,-0.000000000000000000e+00,-3.943807887462575934e+01,1.859128867281186331e+03
-2.946554184338602944e+00,-7.379611495750626471e-01,5.889797215941374731e-01,-6.057195549881949148e+01,0.000000000000000000e+00,6.057195549881949148e+01,2.855389365529669249e+03
